Product Name,Product Price,Review
"Boult Y1 with Zen ENC Mic, 50H Battery, Fast Charging, ...",799,4.0
"Noise Buds VS102 Neo with 40 Hrs Playtime, Environmenta...",799,4.0
"boAt Airdopes 181 Pro w/ 100 HRS Playback, 4 Mics ENx T...",999,4.0
"Noise Buds VS102 Elite with 50Hr Playtime, ENC, Quad Mi...",999,4.0
"Noise Buds VS102 Pro with ANC (25dB), 70 Hours Playtime...",1299,3.8
boAt Airdopes 161/163 with ASAP Charge & 40 HRS Playbac...,799,4.0
"Boult Astra with Quad Mic ENC, 48Hrs Battery, Low Laten...",1099,4.1
"boAt Nirvana Ion 32dB Active Noise Cancellation, 120HRS...",1899,4.1
"JBL Tune 235NC TWS, Active Noise Cancellation, 40Hr Pla...",2999,3.8
"Boult Z40 Pro with 100H Battery, Quad Mic ENC, Scratch ...",1199,4.1
"Mivi SuperPods Opera earbuds [Flagship Launch], Hi-res ...",1499,4.8
"boAt Airdopes 71 w/ 40 HRS Playback, ENx Technology & B...",799,3.9
"Boult W40 with Quad Mic ENC, 48H Battery Life, Low Late...",899,4.1
Nothing Ear (a) 2024 | ChatGPT Compatible | Hi-Res audi...,4999,4.3
"Boult Astra Neo 70Hrs Playtime, 4 Mic ENC, BT 5.4, 40ms...",999,4.1
"Boult Z40 Pro with 100H Battery, Quad Mic ENC, Scratch ...",1199,4.1
"Boult Astra with Quad Mic ENC, 48Hrs Battery, Low Laten...",1099,4.1
"Boult Z40 Pro with 100H Battery, Quad Mic ENC, Scratch ...",1199,4.1
"boAt Airdopes 161 Pro-Buds w/ ASAP Charge, Multi-Point ...",1099,3.8
"Mivi DuoPods i6 TWS, Engineered for Athletes, IPX 4.0,1...",699,4.3
boAt Airdopes 131 with upto 60 hours and ASAP Charge Bl...,699,4.0
boAt Airdopes 161 ANC w/ Active Noise Cancellation(32dB...,1099,3.8
"moto buds with Hi-Res Audio, Large 12.4mm driver, 42 hr...",1999,4.0
