,Product Name ,Product Price,Review
162,"Boult Z60 with 60Hr Battery, Quad Mic ENC, 50ms Ultra L...","1,299",4
163,OPPO Enco Air3 Pro Industry first Composite Bamboo Fibe...,"4,999",4.3
164,"CMF by Nothing Buds Pro with 45 dB ANC, Ultra Bass Tech...","2,999",4.1
165,"Mivi DuoPods K5 TWS Earbuds Metallic Finish, HD calling...",999,4
166,"HOPPUP AirDoze F50 Earbuds with 40H PlayTime, 40MS Low ...",699,4
167,"HOPPUP AirDoze S40 Earbuds with 13MM Drivers, 40H Playt...",699,4
168,"Mivi DuoPods K6 TWS,Rich Bass,50H Playtime,AI ENC,Low L...",999,4
169,WINGS Phantom Earbuds with 50ms Low Latency Game mode 5...,898,4
170,"Boult W20 with Zen ENC Mic, 35H Battery Life, Low Laten...","1,099",4.1
171,"Boult Y1 Pro with Zen Quad Mic ENC, 60Hrs Battery, Fast...","1,199",4.1
172,"Noise Buds VS401 with 50 Hrs Playtime, Quad Mic with EN...","1,199",4
173,"Boult W40 with Quad Mic ENC, 48H Battery Life, Low Late...","1,299",4.1
174,Google Pixel Buds A-Series with Google Assistant Blueto...,"4,999",4.3
175,boAt Airdopes 131 Elite ANC w/ Active Noise Cancellatio...,"1,299",4
176,HOPPUP Predator Xo4 Gaming Earbuds with 35MS Low Latenc...,799,4.1
177,Aroma NB140 Jaguar 50 Hours* Playtime|Deep Bass|Fast Ch...,699,3.7
178,"Boult Z60 with 60Hr Battery, Quad Mic ENC, 50ms Ultra L...","1,299",4
179,"Bose QUIETCOMFORT EARBUDS II,WW Bluetooth Headset","14,999",4.2
180,Aroma NB140 Matrix 40 Hours*Playtime|Deep Bass | Fast C...,699,3.7
181,Aroma NB140 Ranger 50 Hours* Playtime |Perfect for Musi...,699,3.6
182,"Noise Buds VS102 Elite with 50Hr Playtime, ENC, Quad Mi...","1,199",4
183,"Noise Buds VS404 with 50 Hours Playtime, ENC with Quad ...","1,099",3.9
184,"HOPPUP AirDoze F50 Earbuds with 40H PlayTime, 40MS Low ...",699,4
185,"Noise Buds VS404 with 50 Hours Playtime, ENC with Quad ...","1,099",3.9
186,"Mivi DuoPods K2 TWS,AI-ENC,40Hr Playtime,13mm Bass,Made...",699,3.9
187,"truke BTG1 Earbuds with Game Mode, 48H Playtime, Quad M...",899,4
188,"TRIGGR Apex S1 Dual Pairing, 100H Battery, Quad Mic ENC...","1,199",4
189,SONY WF-C500 IPX4/20Hrs Battery Life Bluetooth Headset,"5,439",4.1
190,"Boult Y1 with Zen ENC Mic, 50H Battery, Fast Charging, ...","1,099",4
191,"Noise Buds VS102 with 50 Hrs Playtime, 11mm Driver, IPX...","1,099",4
192,"truke Buds Q1+ with 80H Playtime, Quad Mic Adv.ENC, 12m...",899,3.8
193,Nothing Ear (a) 2024 | ChatGPT Compatible | Hi-Res audi...,"7,999",4.3
194,"Mivi DuoPods i5 TWS,Metallic Finish,13mm Bass,50H Playt...","1,399",4.1
195,"Mivi DuoPods K5 TWS Earbuds Metallic Finish, HD calling...",999,4
196,"Boult Z60 with 60Hr Battery, Quad Mic ENC, 50ms Ultra L...","1,299",4
197,"Mivi DuoPods i5 TWS,Metallic Finish,13mm Bass,50H Playt...","1,399",4.1
198,"Boult W40 with Quad Mic ENC, 48H Battery Life, Low Late...","1,299",4.1
199,"boAt Airdopes 161 with ASAP Charge, 40 Hours Playback &...","1,099",4
200,"Mivi DuoPods D3 TWS,13mm Driver,Rich Bass,50H Playtime,...",599,3.8
201,"Mivi DuoPods K2 TWS,AI-ENC,40Hr Playtime,13mm Bass,Made...",699,3.9
202,"truke Buds Q1 with 30H Playtime, Quad Mic ENC, Game Mod...","1,099",4
203,"Mivi DuoPods D4 TWS,Rich Bass,50H Playtime,AI ENC,Low L...",699,3.9
204,"beatXP Wave XPods with 50H Playtime, Quad Mic ENC, Gami...",799,3.8
205,"TRIGGR Kraken X2 Quad Mic ENC, 40 Hr Battery, Rapid Pai...",898,4
206,"Noise Buds VS102 with 50 Hrs Playtime, 11mm Driver, IPX...","1,099",4
207,"HOPPUP AirDoze F50 Earbuds with 40H PlayTime, 40MS Low ...",699,4
208,"Boult X45 with Quad Mic ENC, 40H Playtime, 45ms Ultra L...",899,3.9
209,"HOPPUP AirDoze Z51 with 4 Mic ENC, 13MM Drivers, 50H Pl...",799,4.1
210,"HOPPUP AirDoze S40 Earbuds with 13MM Drivers, 40H Playt...",699,4
211,"Boult W20 with Zen ENC Mic, 35H Battery Life, Low Laten...","1,099",4.1
212,HOPPUP GRAND With Power Bank Function & Upto 75 Hours P...,599,3.9
213,boAt Airdopes 131 Elite ANC w/ Active Noise Cancellatio...,"1,299",4
214,"Boult Z40 Gaming with 60H Battery, App Support, Dual Pa...","1,499",4.1
215,"boAt Airdopes 181 Pro w/ 100 HRS Playback, 4 Mics ENx T...","1,398",3.9
216,"Boult Y1 Pro with Zen Quad Mic ENC, 60Hrs Battery, Fast...","1,199",4.1
217,HOPPUP Predator Xo4 Gaming Earbuds with 35MS Low Latenc...,799,4.1
218,REDMI Buds 5 with 46dB Hybrid Active Noise Cancellation...,"2,599",4.2
219,"HOPPUP Predator Xo1 Gaming Earbuds with 50H Playtime,13...",799,4.1
220,Aroma NB140 Jaguar 50 Hours* Playtime|Deep Bass|Fast Ch...,699,3.7
221,Aroma NB140 Matrix 40 Hours*Playtime|Deep Bass | Fast C...,699,3.7
222,"realme Buds Air 6 Pro with 50dB ANC, 360 Spatial Audio ...","4,998",4.3
223,OnePlus Nord Buds 3 Pro Truly Wireless Earbuds with 49d...,"3,299",4.4
224,"truke BTG Storm Earbuds with 40ms Low Latency, 50H Play...",899,4
225,HOPPUP Predator Xo4 Gaming Earbuds with 35MS Low Latenc...,799,4.1
226,"Mivi DuoPods K2 TWS,AI-ENC,40Hr Playtime,13mm Bass,Made...",699,3.9
227,Aroma NB140 Ranger 50 Hours* Playtime |Perfect for Musi...,699,3.6
228,"Boult W40 with Quad Mic ENC, 48H Battery Life, Low Late...","1,299",4.1
229,Apple AirPods (3rd generation) with Lightning Charging ...,"19,099",4.3
230,"truke BTG1 Earbuds with Game Mode, 48H Playtime, Quad M...",899,4
231,"Boult Y1 with Zen ENC Mic, 50H Battery, Fast Charging, ...","1,099",4
232,"boAt Airdopes 161 w/ 50HRS Playback, ENx Tech, 13mm Dri...",999,3.9
233,"TRIGGR Kraken X3 with RGB Lights, 40ms Latency, Quad EN...",898,4
234,"boAt Airdopes 191G w/ Dual Drivers, 30 HRS Playback, Qu...","1,099",4
235,"Noise Buds VS102 Elite with 50Hr Playtime, ENC, Quad Mi...","1,299",4
236,"Noise Buds VS102 with 50 Hrs Playtime, 11mm Driver, IPX...","1,099",4
237,"Mivi DuoPods i5 TWS,Metallic Finish,13mm Bass,50H Playt...","1,399",4.1
238,"Noise Buds VS102 Neo with 40 Hrs Playtime, Environmenta...",999,4
239,"boAt Airdopes 181 with ENx Tech, BEAST Mode, ASAP Charg...","1,098",3.9
240,"Mivi DuoPods D3 TWS,13mm Driver,Rich Bass,50H Playtime,...",599,3.8
241,"Noise Buds VS102 with 50 Hrs Playtime, 11mm Driver, IPX...","1,099",4
242,"Noise Buds X prime with 120 Hrs of Playtime, ENC with Q...","1,399",3.8
243,"Noise Buds X prime with 120 Hrs of Playtime, ENC with Q...","1,399",3.8
244,"realme Buds Air 5 Pro with 50dB ANC, 360 Spatial Audio ...","4,498",4.4
245,"moto buds with Hi-Res Audio, Large 12.4mm driver, 42 hr...","3,999",3.9
246,"HOPPUP AirDoze F50 Earbuds with 40H PlayTime, 40MS Low ...",699,4
247,"HOPPUP AirDoze S40 Earbuds with 13MM Drivers, 40H Playt...",699,4
248,"Boult W40 with Quad Mic ENC, 48H Battery Life, Low Late...","1,299",4.1
249,"ORAIMO Airbuds 3 Earbuds with ENC, up to 20 hours Playb...",999,4
250,"Boult W20 with Zen ENC Mic, 35H Battery Life, Low Laten...","1,099",4.1
251,"Boult Y1 Pro with Zen Quad Mic ENC, 60Hrs Battery, Fast...","1,199",4.1
252,"REDMI Buds 5C Earbuds, 40dB Hybrid ANC TWS, 4 Mic, 5 EQ...","1,799",4.2
253,OnePlus Buds Pro 2 Bluetooth Headset,"8,299",4.4
254,"boAt Airdopes 191G w/ Dual Drivers, 30 HRS Playback, Qu...","1,099",4
255,"truke Clarity 5 V2 6Mics Adv.ENC & Dual Connectivity, 8...",999,4
256,HOPPUP Predator Xo4 Gaming Earbuds with 35MS Low Latenc...,799,4.1
257,Aroma NB140 Jaguar 50 Hours* Playtime|Deep Bass|Fast Ch...,699,3.7
258,SAMSUNG Galaxy Buds 2 Bluetooth Headset,"8,295",4.4
259,"Boult Z40 Gaming with 60H Battery, App Support, Dual Pa...","1,499",4.1
260,Aroma NB140 Matrix 40 Hours*Playtime|Deep Bass | Fast C...,699,3.7
261,Aroma NB140 Ranger 50 Hours* Playtime |Perfect for Musi...,699,3.6
262,Portronics Harmonics Twins S3 Smart TWS Bluetooth Earbu...,749,4
263,"boAt Airdopes 161 Deadpool Edition w/ 40 HRS Playback, ...","1,099",4
264,OPPO Enco Air3 Pro Industry first Composite Bamboo Fibe...,"4,999",4.3
265,"Boult X45 with Quad Mic ENC, 40H Playtime, 45ms Ultra L...",899,3.9
266,"Mivi DuoPods K2 TWS,AI-ENC,40Hr Playtime,13mm Bass,Made...",699,3.9
267,"truke BTG1 Earbuds with Game Mode, 48H Playtime, Quad M...",899,4
268,Number Super Buds Pro GT99 4 Mic MEMS ENC Gaming RGB TW...,999,4.1
269,OPPO Enco Air 2 Pro Bluetooth Headset,"3,499",4.3
270,"Boult Y1 with Zen ENC Mic, 50H Battery, Fast Charging, ...","1,099",4
271,"Noise Buds VS102 with 50 Hrs Playtime, 11mm Driver, IPX...","1,099",4
272,"boAt Airdopes 311 Pro w/ 50 HRS Playback, ASAP Charge &...","1,199",3.9
273,OnePlus Nord Buds 3 Pro Truly Wireless Earbuds with 49d...,"3,299",4.4
274,"Aroma NB140 Galaxy 50 Hours* Playtime, Deep Bass, Fast ...",701,3.6
275,"boAt Airdopes 161 ANC Elite w/ ANC, 50 HRS Playback, AS...","1,399",4
276,"TECHFIRE Bullets 121 with Beast Mode(40ms Low Latency),...",699,3.4
277,"Boult Z60 with 60Hr Battery, Quad Mic ENC, 50ms Ultra L...","1,299",4
278,boAt Airdopes 161 ANC w/ Active Noise Cancellation(32dB...,"1,399",3.8
279,"truke Clarity 2 V2 6Mics Adv.ENC, 68H Battery,13mm Driv...",899,4
280,"Mivi DuoPods D3 TWS,13mm Driver,Rich Bass,50H Playtime,...",599,3.8
281,"Noise Buds VS102 with 50 Hrs Playtime, 11mm Driver, IPX...","1,099",4
282,"PTron Bassbuds Joy TWS with 13mm Drivers, Stereo Calls,...",798,3.6
283,"Number Super Buds GT M9 Gaming TWS Earbuds, 60Hr Playba...","1,349",4.2
284,"boAt Airdopes Progear w/ Air Conduction Tech,100 HRS Pl...","1,899",3.7
285,"Mivi DuoPods D3 TWS,13mm Driver,Rich Bass,50H Playtime,...",699,3.8
